timestamp,min_lum,mean_lum,max_lum,diff_lum,amp_rms,amp_peak,ebu_r128_M
828.166667,0,79.5257,206,0.662173,-28.238533963859798,-38.04594874195021,-35.53133311000005
828.2,0,79.4311,194,0.575483,-27.844206860036483,-36.7120048010683,-35.509
828.233333,0,79.3594,196,0.221795,-28.921062952185608,-36.98454995682628,-35.37200137
828.266667,0,79.3426,197,0.613796,-26.73659,-33.567807,-35.23499863
828.3,0,79.2537,191,0.646898,-23.8463668552961,-32.028025360430824,-35.098
828.333333,0,79.2696,192,0.616211,-24.3231601958873,-32.27744633703621,-34.74367020999918
828.366667,0,79.1517,191,0.590991,-23.560204555759213,-31.87197679594964,-34.38932978999961
828.4,0,79.1099,191,0.202327,-23.345665820652226,-32.3659307373071,-34.035
828.433333,0,79.069,190,0.677619,-24.376562098203266,-32.58312698420319,-33.61733751000046
828.466667,0,78.9911,191,0.626098,-23.389738766839294,-30.431835419816935,-33.19966248999953
828.5,0,78.9887,190,0.566181,-22.62738022659811,-28.126712115692122,-32.782
828.533333,0,78.9619,190,0.67263,-23.321329893451708,-32.479224660338815,-32.665001170000124
828.566667,0,78.9555,190,0.0506478,-25.47000681278038,-33.616831986683195,-32.54799882999987
828.6,0,78.8648,190,0.732745,-22.761956944172827,-31.732285244786407,-32.431
828.633333,0,78.7867,196,0.988851,-23.36402651654772,-32.17280562032583,-32.551998789999864
828.666667,0,78.7474,196,0.864554,-25.13720628247264,-34.10322854750791,-32.67300120999972
828.7,0,78.6395,196,1.0997,-27.13392614708838,-34.79072641993889,-32.794
828.733333,0,78.6245,196,0.0967318,-25.489583184501146,-34.71048107875233,-32.91899875
828.766667,0,78.6085,195,1.02438,-25.8409778901365,-34.01814809890732,-33.044001249999994
828.8,0,78.4781,195,1.2288,-24.799518,-35.076627,-33.169
828.833333,0,78.6393,195,1.35095,-24.116402520951922,-31.509240007783582,-33.255665800000195
828.866667,0,78.6624,195,1.38266,-25.388510464351384,-34.16182638785099,-33.342334200000096
828.9,0,78.5909,196,0.249455,-22.961475004826035,-31.379621308520296,-33.429
828.933333,0,78.4604,195,1.72463,-21.917640693241765,-31.936337733977123,-33.39833364000004
828.966667,0,78.5744,194,1.60577,-21.976343921440726,-32.31623944876765,-33.367666359999966
829.0,0,78.0383,195,2.2276,-22.40045225472304,-31.59505649697581,-33.337
829.033333,0,78.1541,199,1.64311,-25.413617875029274,-34.38921531854612,-33.27133399000007
829.066667,0,78.236,197,1.29872,-24.394940087844965,-32.62845354075968,-33.20566600999993
829.1,0,78.2258,197,0.0461675,-24.69100249168225,-32.955717173442444,-33.14
829.133333,0,78.2213,193,1.21973,-26.032330930014318,-33.89970404607902,-33.305665009999814
829.166667,0,78.2477,193,1.09422,-24.401231082628968,-32.08126115219325,-33.47133498999962
829.2,0,78.2389,197,1.67893,-27.17095475301143,-34.54049655847659,-33.637
829.233333,0,78.2654,193,0.954046,-27.218400394599477,-35.596500051890324,-34.08166222000001
829.266667,0,78.2489,194,0.206385,-27.676573606384448,-36.04513696793644,-34.526337779999984
829.3,0,78.1686,193,1.04707,-27.375782024603538,-36.8393206951104,-34.971
829.333333,0,78.1964,193,1.38797,-29.910949,-38.701113,-35.47866159000117
829.366667,0,78.2272,193,1.12157,-31.367006515118074,-39.452864481648255,-35.98633841000056
829.4,0,78.1875,193,0.981784,-29.847131683743292,-39.04604205184213,-36.494
829.433333,0,78.1827,193,0.0533594,-30.64437347456873,-39.35031472624371,-37.19665963999922
829.466667,0,78.0787,197,1.24378,-30.232983339829307,-38.70097391956692,-37.89934036000078
